Number	System	Body	Piston	Nrv in probe	Handle	x	x2	x3	Fittings	Sales year	Code number	Description	Pcs	2 First	Body/Gas thread	Piston thread	Body description	Piston description	NRV description	Body drawings	Piston drawings	NRV drawings	Fitting drawings	Complete drawing list
4	S	F	N	2	CA	0	0	0	00	2020	4SFN2CA00000	MF-S 1/2″BSP-1/2″BSP Japan	16.892	4S	1/2"	1/2"	1/2"RG Japan	1/2" RG JAPAN	Stop Kugle	707-590	707-553	102-524, 102-527		707-590, 707-553, 102-524, 102-527
3	M	8	7	3	CA	0	0	0	00	2021	3M873CA00000	MF-M 5/8″BSP 5/8″BSP	16.725	3M	5/8"	5/8"	5/8"	5/8" ø8.5   Holland	Kontraventil	707-420, 106-544	731-104	102-699		707-420, 106-544, 731-104, 102-699
5	S	A	3	2	CC	0	0	0	26	2019	5SA32CC00026	MF-S 1/2″BSP-5/8″BSP	16.429	5S	1/2"	5/8"	"1/2"" RG 
MAHOU"	5/8" Massiv	Stop Kugle	707-577	707-239	102-524, 102-527	401-998, 401-784	707-577, 707-239, 102-524, 102-527, 401-998, 401-784
5	S	9	I	9	CC	0	0	0	21	2021	5S9I9CC00021	MF-S 1/2″BSP-5/8″BSP Non Drip	15.121	5S	1/2"	5/8"	"1/2"" RG 
SUNTORY"	5/8" Sapporo non drip	Stop Kugle Ø9.525	707-580	707-603	112-413, 102-917	215-003, 401-991	707-580, 707-603, 112-413, 102-917, 215-003, 401-991
5	A	1	2	3	CC	0	0	0	04	2021	5A123CC00004	MF-AB 5/8″BSP-5/8″BSP	14.980	5A	5/8"	5/8"	5/8" Seriekobl.	5/8"     ø16 Bond Seriekobl. 	Stop  Kontraventil	703-455	703-230	102-524, 102-699		703-455, 703-230, 102-524, 102-699
5	S	0	3	3	CC	0	0	0	33	2022	5S033CC00033	MF-S 5/8″BSP-5/8″BSP	14.705	5S	5/8"	5/8"	5/8"  Seriekobl.	5/8" Massiv	Kontraventil	707-390	707-239	102-699		707-390, 707-239, 102-699
4	G	4	F	2	CA	0	0	0	26	2020	4G4F2CA00026	MF-GB 1/2″BSP-1/2″BSP	14.648	4G	1/2"	1/2"	"1/2""
Till Sverige"	"1/2""
Damm"	"Stop
Kugle"	703-301	706-141	102-524, 102-527	401-750, 405-015	703-301, 706-141, 102-524, 102-527, 401-750, 405-015
3	G	1	1	1	CA	0	0	0	01	2020	3G111CA00001	MF-GB 5/8″BSP-5/8″BSP	14.414	3G	5/8"	5/8"	5/8"	5/8"	Kontraventil	707-420, 703-447	703-197	102-699	100-461	707-420, 703-447, 703-197, 102-699, 100-461
5	S	0	3	3	CC	0	0	0	33	2019	5S033CC00033	MF-S 5/8″BSP-5/8″BSP	14.390	5S	5/8"	5/8"	5/8"  Seriekobl.	5/8" Massiv	Kontraventil	707-390	707-239	102-699		707-390, 707-239, 102-699
4	S	7	1	3	CA	0	0	0	70	2020	4S713CA00070	MF-S 1/2″BSP-1/2″BSP	14.000	4S	1/2"	1/2"	1/2" ø8 CO2	1/2" Massiv	Kontraventil	707-379	707-119	102-699	401-627, PI451214FS	707-379, 707-119, 102-699, 401-627, PI451214FS
7	G	1	1	2	CA	0	0	0	41	2021	7G112CA00041	MF-GB 1/2″BSP-1/2″BSP	14.000	7G	1/2"	1/2"	"1/2""
Spec. Bass"	"1/2""
Spec. Bass"	"Stop
Kugle"	703-495	703-261	102-524, 102-527	405-002, 405-009	703-495, 703-261, 102-524, 102-527, 405-002, 405-009
8	U	B	3	4	CA	0	0	0	00	2019	8UB34CA00000	MF-UEC 1/2″BSP-1/2″BSP	13.652	8U	1/2"	1/2"	1/2" Ø8.1 Afdr.anlægsflade	1/2" Opdrejning 2.7	Torpedo Tamperring	709-432	709-161	703-121, 733-304		709-432, 709-161, 703-121, 733-304
